user_id,name,birthdate,national_health_card_number,cpf,unit,medical_care_date,health_condition
2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,2024-02-11 18:54:27.192907,dengue
2,Dr. Rafael Barros,1993-11-22,12394078588,946.710.253-61,Unidade de saude Cecília,"02 February, 2024",hipertensao
3,Diego Azevedo,1984-05-26,65849127364,451.367.820-80,Unidade de saude Daniela,2023-09-14 01:49:00.971052,ferida vascular
3,Diego Azevedo,1984-05-26,65849127364,451.367.820-80,Unidade de saude Daniela,2024-01-30 05:23:58.425052,hipertensao
3,Diego Azevedo,1984-05-26,65849127364,451.367.820-80,Unidade de saude Daniela,"06 September, 2023",ferida vascular
3,Diego Azevedo,1984-05-26,65849127364,451.367.820-80,Unidade de saude Daniela,2024-03-21 11:52:36.355426,hipertensao
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2024-03-01 15:47:39.369470,diabetes
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2024-01-10 18:39:30.225820,ferida vascular
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-10-09 01:09:46.028223,ferida vascular
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-08-08 06:56:11.156045,hipertensao
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,"29 June, 2023",ferida vascular
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-09-22 10:53:49.603296,ferida vascular
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-05-10 11:46:05.623544,diabetes
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2024-03-07 06:39:42.908695,dengue
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-12-15,ferida vascular
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-09-08 16:08:12.240497,diabetes
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-09-05 09:21:21.801329,dengue
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2024-02-21 11:28:03.305153,dengue
4,Francisco Araújo,2010-04-04,93107562416,813.746.029-22,Unidade de saude Daniela,2023-11-08,diabetes
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2024-02-19 10:25:00.719686,dengue
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-08-01 12:08:36.769677,ferida vascular
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2024-04-18 22:24:49.287476,dengue
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2024-04-14 16:08:12.263362,ferida vascular
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-07-12 10:38:36.791095,hipertensao
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-08-16 02:48:27.671397,hipertensao
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-07-11,dengue
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2024-01-29 12:49:07.872297,hipertensao
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-05-25 10:28:05.587279,dengue
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2024-03-28 17:39:46.782487,diabetes
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-07-10 18:08:21.391178,ferida vascular
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-08-16 22:54:55.529836,dengue
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-05-09 12:50:18.751315,dengue
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2024-04-04 16:34:29.862001,dengue
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-08-31 22:38:16.340013,dengue
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-06-20,diabetes
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-08-29 16:16:07.177819,ferida vascular
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,2023-07-20 16:35:58.341459,hipertensao
5,Juliana Jesus,1998-10-02,34527601970,935.180.276-03,Unidade de saude Daniela,"12 October, 2023",ferida vascular
7,Marcelo Rocha,1995-04-19,65097184300,046.273.189-87,Unidade de saude Gabriela,2023-06-29 13:06:43.823826,hipertensao
7,Marcelo Rocha,1995-04-19,65097184300,046.273.189-87,Unidade de saude Gabriela,"06 April, 2024",ferida vascular
7,Marcelo Rocha,1995-04-19,65097184300,046.273.189-87,Unidade de saude Gabriela,2024-01-02 07:23:10.706710,dengue
7,Marcelo Rocha,1995-04-19,65097184300,046.273.189-87,Unidade de saude Gabriela,2024-02-20 15:10:10.211652,dengue
7,Marcelo Rocha,1995-04-19,65097184300,046.273.189-87,Unidade de saude Gabriela,2023-07-07 14:58:07.293434,ferida vascular
7,Marcelo Rocha,1995-04-19,65097184300,046.273.189-87,Unidade de saude Gabriela,2023-05-16,dengue
7,Marcelo Rocha,1995-04-19,65097184300,046.273.189-87,Unidade de saude Gabriela,2023-10-19 02:40:55.267282,hipertensao
8,Ana Julia Azevedo,1977-10-23,83720469565,305.291.784-60,Unidade de saude Daniela,2024-02-07,hipertensao
8,Ana Julia Azevedo,1977-10-23,83720469565,305.291.784-60,Unidade de saude Daniela,2023-08-27 06:24:05.883122,ferida vascular
8,Ana Julia Azevedo,1977-10-23,83720469565,305.291.784-60,Unidade de saude Daniela,2024-03-28 02:51:30.550194,hipertensao
8,Ana Julia Azevedo,1977-10-23,83720469565,305.291.784-60,Unidade de saude Daniela,2023-12-28 04:14:55.973202,diabetes
9,Luigi Carvalho,2000-07-29,74863150920,513.904.268-15,Unidade de saude Maria,2023-06-14,diabetes
9,Luigi Carvalho,2000-07-29,74863150920,513.904.268-15,Unidade de saude Maria,2024-03-15 21:04:27.961192,dengue
10,Luiz Otávio Porto,1979-09-16,95742013680,832.749.615-82,Unidade de saude Cecília,2023-05-17 23:57:53.902132,ferida vascular
10,Luiz Otávio Porto,1979-09-16,95742013680,832.749.615-82,Unidade de saude Cecília,2023-11-21 13:31:46.781370,dengue
10,Luiz Otávio Porto,1979-09-16,95742013680,832.749.615-82,Unidade de saude Cecília,2024-03-12 06:10:23.087826,diabetes
10,Luiz Otávio Porto,1979-09-16,95742013680,832.749.615-82,Unidade de saude Cecília,2024-03-01 04:38:37.171743,dengue
10,Luiz Otávio Porto,1979-09-16,95742013680,832.749.615-82,Unidade de saude Cecília,2023-10-22,ferida vascular
11,Melissa Silveira,1987-12-26,31297650859,816.592.347-19,Unidade de saude Gabriela,2023-07-22 20:25:36.691450,dengue
11,Melissa Silveira,1987-12-26,31297650859,816.592.347-19,Unidade de saude Gabriela,"09 July, 2023",ferida vascular
11,Melissa Silveira,1987-12-26,31297650859,816.592.347-19,Unidade de saude Gabriela,2024-03-02 20:33:58.612390,dengue
11,Melissa Silveira,1987-12-26,31297650859,816.592.347-19,Unidade de saude Gabriela,2023-12-13 17:19:14.991306,hipertensao
12,Pedro da Mata,2006-08-11,3967528103,802.176.945-94,Unidade de saude Maria Alice,2024-03-12 13:14:23.421589,hipertensao
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2024-04-22,diabetes
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-12-06 16:27:43.791141,diabetes
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-04-30 15:51:19.468842,diabetes
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-09-18 16:13:19.065674,hipertensao
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-08-25 02:55:40.532934,ferida vascular
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2024-02-03,ferida vascular
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2024-03-29 05:39:49.541945,dengue
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-10-13 17:43:25.757360,ferida vascular
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-08-16 07:59:01.858267,ferida vascular
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,"05 November, 2023",diabetes
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-04-29,dengue
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-10-25 16:02:35.964666,diabetes
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2024-01-31 10:06:46.791319,dengue
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-10-08 11:03:02.969709,hipertensao
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-10-01 08:27:13.138953,diabetes
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2023-06-02 05:26:36.917157,ferida vascular
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,2024-02-25,ferida vascular
13,Alexandre Jesus,1996-01-14,38604915206,024.167.538-35,Unidade de saude Maria Vitória,"13 February, 2024",diabetes
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2024-03-19 15:05:44.656143,hipertensao
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2023-06-02,ferida vascular
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,"16 October, 2023",diabetes
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2023-06-30 18:53:48.365763,ferida vascular
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2024-03-26 03:41:35.129305,hipertensao
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2023-10-26 16:16:27.682759,dengue
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2024-04-05 01:28:57.053185,ferida vascular
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2024-02-26 23:47:24.047514,ferida vascular
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2023-12-11 17:26:09.205086,hipertensao
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2024-02-18 21:19:07.691744,diabetes
14,Alexia Cardoso,1997-07-19,7815326471,850.137.469-57,Unidade de saude Maria Alice,2023-12-02 08:53:14.991784,dengue
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2024-01-05 16:09:10.601656,hipertensao
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2024-01-01 01:42:44.304557,diabetes
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2023-11-11 01:35:46.107236,dengue
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2023-06-14 18:29:49.951627,hipertensao
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,"01 March, 2024",diabetes
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2023-07-10 16:13:08.962664,ferida vascular
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2023-07-08 23:40:38.867298,dengue
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2024-02-24 00:45:51.485764,hipertensao
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2023-07-29 22:14:48.217903,dengue
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2023-06-10 04:16:45.548899,dengue
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,"25 November, 2023",dengue
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2023-11-27 08:14:16.569079,ferida vascular
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2023-07-21,hipertensao
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,2024-03-03 05:07:18.472284,dengue
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,"12 February, 2024",diabetes
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,"25 August, 2023",dengue
15,Ana Luiza Martins,1983-06-27,50479186294,278.619.350-86,Unidade de saude Maria,"04 November, 2023",ferida vascular
16,Davi Lucca Campos,2008-02-14,15697802420,684.102.793-04,Unidade de saude Daniela,2023-12-14 07:46:12.595685,ferida vascular
16,Davi Lucca Campos,2008-02-14,15697802420,684.102.793-04,Unidade de saude Daniela,"20 May, 2023",dengue
16,Davi Lucca Campos,2008-02-14,15697802420,684.102.793-04,Unidade de saude Daniela,2023-11-25 15:36:33.413195,dengue
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-06-02,hipertensao
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-10-21 02:36:42.720890,diabetes
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2024-01-28 16:19:51.186485,dengue
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-05-30 16:05:01.481946,ferida vascular
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-12-03 09:48:25.202549,hipertensao
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-06-03 15:04:37.089514,ferida vascular
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-12-05 10:49:00.360607,dengue
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,"07 January, 2024",dengue
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-07-11 00:36:21.991060,hipertensao
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-06-26 10:14:54.113507,hipertensao
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-09-20 17:36:10.462638,hipertensao
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2024-03-02 05:51:06.844191,dengue
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2024-04-22,hipertensao
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-08-06 04:07:29.837323,hipertensao
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-05-24 08:32:20.521903,ferida vascular
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,"29 August, 2023",hipertensao
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2024-02-02 03:08:15.222795,ferida vascular
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2024-01-25 20:42:19.970839,ferida vascular
17,Ian Rocha,2007-10-06,84507193648,365.207.148-44,Unidade de saude Daniela,2023-07-15 16:02:58.928782,dengue
18,Gabrielly Gomes,1985-05-08,57963418048,576.382.104-17,Unidade de saude Cecília,2023-06-21 17:06:48.024420,hipertensao
18,Gabrielly Gomes,1985-05-08,57963418048,576.382.104-17,Unidade de saude Cecília,2023-08-31 20:41:10.045762,diabetes
18,Gabrielly Gomes,1985-05-08,57963418048,576.382.104-17,Unidade de saude Cecília,2023-06-03 10:55:56.468698,diabetes
18,Gabrielly Gomes,1985-05-08,57963418048,576.382.104-17,Unidade de saude Cecília,2024-04-12 00:47:24.980270,diabetes
18,Gabrielly Gomes,1985-05-08,57963418048,576.382.104-17,Unidade de saude Cecília,"25 July, 2023",diabetes
18,Gabrielly Gomes,1985-05-08,57963418048,576.382.104-17,Unidade de saude Cecília,2023-07-23 03:26:43.578173,hipertensao
18,Gabrielly Gomes,1985-05-08,57963418048,576.382.104-17,Unidade de saude Cecília,2023-09-24 10:08:09.842095,ferida vascular
18,Gabrielly Gomes,1985-05-08,57963418048,576.382.104-17,Unidade de saude Cecília,2023-10-07 15:54:48.018719,ferida vascular
18,Gabrielly Gomes,1985-05-08,57963418048,576.382.104-17,Unidade de saude Cecília,2023-07-20 00:10:11.896094,hipertensao
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,2023-05-30 22:12:48.870593,diabetes
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,2024-02-15 23:08:37.558189,diabetes
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,"29 April, 2023",hipertensao
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,2023-10-23 22:11:07.710581,ferida vascular
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,2023-11-24 13:18:36.906192,hipertensao
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,"13 April, 2024",diabetes
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,2023-12-19 19:16:23.831825,ferida vascular
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,2023-12-24 02:37:36.258685,diabetes
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,2023-12-12 23:49:12.980348,ferida vascular
19,Isaac Gomes,1999-08-12,46591270361,748.906.521-67,Unidade de saude Maria,2024-03-25 17:00:21.785920,dengue
21,Daniela Rocha,1994-10-18,94508173241,130.965.247-34,Unidade de saude Maria Vitória,2023-06-24 21:46:55.014010,hipertensao
21,Daniela Rocha,1994-10-18,94508173241,130.965.247-34,Unidade de saude Maria Vitória,2024-03-04,dengue
21,Daniela Rocha,1994-10-18,94508173241,130.965.247-34,Unidade de saude Maria Vitória,2024-01-29 20:36:53.140584,hipertensao
21,Daniela Rocha,1994-10-18,94508173241,130.965.247-34,Unidade de saude Maria Vitória,2023-12-05 21:30:33.857274,ferida vascular
21,Daniela Rocha,1994-10-18,94508173241,130.965.247-34,Unidade de saude Maria Vitória,2023-11-08 18:52:59.532347,hipertensao
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2024-03-08,hipertensao
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2023-11-16 18:50:25.916124,hipertensao
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2024-01-15 16:58:36.630615,hipertensao
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2023-06-05 08:16:14.390645,diabetes
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2024-03-19 06:08:53.072992,diabetes
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2023-09-08,hipertensao
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2023-10-22 09:42:06.672351,ferida vascular
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2023-07-16 17:20:56.530285,dengue
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2023-12-12 01:57:56.317323,hipertensao
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2024-01-09 04:50:38.411201,ferida vascular
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2024-04-14 19:20:27.324687,hipertensao
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2023-07-09 13:01:47.953798,ferida vascular
22,Dr. João Lucas das Neves,1997-01-05,89450132615,032.971.458-97,Unidade de saude Maria Vitória,2023-10-13,ferida vascular
23,Beatriz Novaes,2009-12-05,91027653499,836.529.140-15,Unidade de saude Maria,2023-05-12 05:40:23.023685,hipertensao
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,"25 January, 2024",hipertensao
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,2023-06-04 14:09:46.565976,dengue
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,2023-08-28 22:21:12.163695,hipertensao
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,2023-05-01 13:14:37.367758,dengue
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,2024-04-22 16:22:37.478385,dengue
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,2024-01-25 19:40:43.308905,hipertensao
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,2023-06-07 06:35:02.613885,hipertensao
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,2023-06-29 02:33:23.939451,diabetes
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,2024-02-11 04:17:53.943101,diabetes
24,Gabriel da Mota,1977-09-17,18796340231,346.572.198-55,Unidade de saude Gabriela,2024-03-11 13:32:45.362641,ferida vascular
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,2024-01-25 21:59:36.889017,diabetes
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,"19 May, 2023",hipertensao
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,2023-05-22 23:09:04.992331,hipertensao
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,"05 March, 2024",dengue
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,2024-03-24 20:26:58.945670,diabetes
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,2023-12-15,diabetes
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,2023-05-21 12:57:17.443402,dengue
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,2024-03-28,hipertensao
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,2023-09-23 05:45:17.940862,ferida vascular
25,Sr. Pedro Lopes,1974-06-17,6235148771,190.648.723-50,Unidade de saude Milena,2023-11-29 12:45:29.828023,ferida vascular
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2024-04-18 11:42:04.431786,dengue
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,"22 March, 2024",dengue
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2024-01-31,dengue
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2023-10-06,diabetes
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2023-09-05 22:47:11.537534,ferida vascular
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2023-07-08 02:01:48.322495,diabetes
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,"30 January, 2024",ferida vascular
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2023-10-27 05:43:13.460714,ferida vascular
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2023-11-15 14:17:03.394375,hipertensao
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2023-10-18 15:08:26.897524,hipertensao
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,"21 June, 2023",diabetes
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2023-06-16 15:33:19.286987,ferida vascular
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2024-01-16 03:35:39.375510,dengue
26,Lorena Dias,1973-11-07,65139087286,478.603.521-17,Unidade de saude Maria,2024-01-10 08:38:22.026903,hipertensao
